一|二|三|十|口|日|几|也|不|机|杯|人|他|力|她
Yī |èr |sān |shí |kǒu |rì |jǐ |yě |bù |jī |bēi |rén |tā |lì |tā
one|two|three|ten|mouth, mw. people|sun,day,japan|several|also|not|machine|cup|person|he|power|she
