么|什|五|七|九|六|百|边|上|下|马|吗|妈
Me |shén |wǔ |qī |jiǔ |liù |bǎi |biān |shàng |xià |mǎ |ma |mā
appendage, suffix|what?|five|seven|nine|six|hundred|side|above, last|below, next|horse|question mark|mother
