大|太|夫|小|你|又|友|地|在|云|运|动|会|国
Dà |tài |fu |xiǎo |nǐ |yòu |you |de |zài |yún |yùn |dòng |huì |guó
big|too much|husband|small|you|right hand|friend|ground|at|cloud|transport|move|meeting|country
